time [s],cadence [spm] (/api/datatype/53/)
1.00000000,0
2.00000000,0
3.00000000,0
4.00000000,0
5.00000000,0
6.00000000,0
7.00000000,75
8.00000000,117
9.00000000,124
10.00000000,97
11.00000000,44
12.00000000,0
13.00000000,0
14.00000000,0
15.00000000,41
16.00000000,0
17.00000000,0
18.00000000,0
19.00000000,0
20.00000000,0
21.00000000,0
22.00000000,0
23.00000000,0
24.00000000,0
25.00000000,0
26.00000000,0
27.00000000,0
28.00000000,0
29.00000000,0
30.00000000,0
31.00000000,0
32.00000000,0
33.00000000,0
34.00000000,0
35.00000000,0
36.00000000,50
37.00000000,53
38.00000000,0
39.00000000,0
40.00000000,0
41.00000000,0
42.00000000,0
43.00000000,0
44.00000000,0
45.00000000,0
46.00000000,0
47.00000000,0
48.00000000,0
49.00000000,0
50.00000000,0
51.00000000,0
52.00000000,0
53.00000000,0
54.00000000,0
55.00000000,0
56.00000000,0
57.00000000,0
58.00000000,0
59.00000000,0
60.00000000,0
61.00000000,0
62.00000000,0
63.00000000,0
64.00000000,0
65.00000000,0
66.00000000,0
67.00000000,0
68.00000000,0
69.00000000,0
70.00000000,0
71.00000000,0
72.00000000,0
73.00000000,0
74.00000000,0
75.00000000,0
76.00000000,0
77.00000000,0
78.00000000,0
79.00000000,0
80.00000000,0
81.00000000,0
82.00000000,0
83.00000000,0
84.00000000,0
85.00000000,0
86.00000000,0
87.00000000,0
88.00000000,0
89.00000000,0
90.00000000,0
91.00000000,0
92.00000000,0
93.00000000,0
94.00000000,0
95.00000000,0
96.00000000,0
97.00000000,0
98.00000000,0
99.00000000,0
100.00000000,0
101.00000000,0
102.00000000,0
103.00000000,0
104.00000000,0
105.00000000,0
106.00000000,0
107.00000000,0
108.00000000,0
109.00000000,0
110.00000000,0
111.00000000,0
112.00000000,0
113.00000000,0
114.00000000,0
115.00000000,0
116.00000000,0
117.00000000,0
118.00000000,0
119.00000000,0
120.00000000,0
121.00000000,0
122.00000000,0
123.00000000,0
124.00000000,0
125.00000000,0
126.00000000,0
127.00000000,0
128.00000000,0
129.00000000,0
130.00000000,0
131.00000000,0
132.00000000,0
133.00000000,0
134.00000000,0
135.00000000,0
136.00000000,0
137.00000000,0
138.00000000,0
139.00000000,0
140.00000000,0
141.00000000,0
142.00000000,0
143.00000000,0
144.00000000,0
145.00000000,0
146.00000000,0
147.00000000,0
148.00000000,0
